Label,Clean_Text
0,እድወ እንዛይ ችግሰንጥድ ቓቭዘናንስ ኻይማኖትዙ አቅል ሽመቅል ክጝንጥ ምሁረን ቲክንክነ ፃቨነውዝ ኻቨረቀሰተ እሴተኒል ውላቐቊ እቀ ኽቭርዙ አድላንድ ማኽርጝጠዝመ ዊግዝጝጠ ጡሸው እንዝጘም ጝን ጨቨቅ ፅበቁ አቅል ጝታቁሪዙ ግሪዝመ ጨነድ እግዝግዝጝጠ ጡሸጘ ሙየ ጉርየድ ዊግትጘኩ
0,ቀሰቁ እሴተንድ ታኽንኽነነውዝ ጛቕመት ጝነቊ እቀ ገረደድ እንዝጘም ኻግር ኻየነውዝ ዲግዙ ኲንኒል ይና ችጘሩድ ፈነውዝ እኩሰ ፃቨነው እንቅም ዜገኒስ ኻይሽተው ቲግቭር አነ ይና አስለ ክፍሊዙ እፃ የጝ ዲግ አጥን
0,ሽኺዝ ማኽሊስ
0,እልዙ ሰወ ገርድን ንቕፀቊ ኢትዮጲቍስ ቓለነውዙ ችግሰ ጎን አቐጘ ትኽነ ሚኒስቴር ፊሰው ሚዝረድ ቓሊሰኲ ቓለነውዙ ችግሰ ፃየቊ
0,እልዙ ሰወ ገርድን የአይን ሞራ ግርዶሽ አዊንም እድምዙ ክልሊል እትለው አቕሽም ንቕፀውዝ ጝታ እድምድ ትክቨነዊጅቅ ፃየፃይሽት ተረው ችግሰ የጝ እንቅም እጅር የነው ቸልሸው አቕንትዝ ቓለድ ዊሰው ኽክምነዙ ፃጘዝ እልዙ ሰወ ገርድን የዓይን ሞራ ግርዶሽ ቀድን ኻክመነውዝ ቓድጠ ቸለው የጝ
0,ንጭቱ ይነ ዲቭየይዝ ወይ ኽምረ ብሔረ እቅ ጭሰጭሰን ተፈራ ሀኃይሉ ሚጉርሰነ ሆስፒታሊል እልዙ ቀድን ኽክምነዙ ኦፊሰር አቐቍ አት ኃስላሴ ዘሪሁንጅቅ እልዙ ሰወ ገርድን ወረጘ አቐጘዝመ ኽክምነይዝ ጅሉዘ ስልክዝ ፃቭነው ዊንተድ አንቭቭስነ ቀኑን
0,ኽምጠ ዊከ ክጊዝድ ፊቅድር ኽምጠ ዊከቱ አቭን አቐነዊዝ ሚዜንዘኩን
0,አት ኃስላሴ ያንም ይፃቀው ሙየይዙ ግዴተድ ፍጨጘድ ፃቭርናንስቅ ሚዜንዘኩን
0,ኽምጠ ዊከእልዙ ሰወ ገርድን ወረጘ የጝ
0,አት ኃስላሴ እልዙ ሰወ ገርድን እልዙ መነፅር ድምነ የጝ እኒን እልዙ ድምነ ቲነዙ ፃርኸ ሌንስ አቒዝጎ ጥዋየጘ ዝመ ሬቲናይል ትኩርት ፃቫየጘ ጊግቨኲ ሬቲና ቲነዙ ትኩርት ዊትረው እልዙ ሺፍነተ አቓንድ እሊዝ እግርገ ችጝሸኲ እን ችግሰድ እትለውድ እልዙ መነፅር አቒል ላውላው ፕሮቲነን ጝታ ቅርፅድ ላውጠነውዝመ ሚርየድ ርዕይ ቀስጛንድ የጝ
0,ንቕፀው ኰርዝ እልዙ ሰወ ገርድን እትለውድ ሲገረ ጥይሰነውዝ ስኳርዙ ፅውዘ ስቴሮይድ ዝመ ላጥ ጥልቕ ንቕፀውዝ አሩሸነው አልትራቫዮሌት ፃሪየ ልኻን ፃሪየዙ ኽክምነ እሊዙ ክፍሊል ቘጨ ችጛንድ ዊንም ጊንትዝ የጝ እል አቒል ፅበቁ ፋይበርዝመ ፕሮቲነንድ ጊግቭሸነው ኪርምጘኲ እንዝም ምላሰን ቓለድ ጭገግ ዊንም ድምነ አቐኲ
0,እልዙ ሰወ ገርድን ቃውሰቍ ተገኒዝ ችግሰ አቓቅ ይጠ ቸለኲ ድምንድነይ ሌንሲዙ ክፍልድ ጭቑ ቘይዝጠ ቸለኲ አቓንስቅም ቓለናንስ ቺግርዘኲ ዊተ ብርኸ ሬቲና አቒል ጥዋንድ ቓለናንስ ችግሰኲ እልዙ ቓለድም ጭገግዝመ ብዥተ ፋጥረኲ እልዙ ሰወ ገርድን ላው እሊዝ ላዊዝጎ ከረከራውምአነጚ ንቕፀቁድ ሊጘ እልጣንድቅ እልዙ ሰወዝ ፃይሽጘኲ
0,ኽምጠ ዊከእልዙ ሰወ ገርድንዙ አይንተን እኩጙመ
0,አት ኃስላሴ ቺተቺተቊ እልዙ ሰወ ገርድን አይንተን እኩጙ ጛይም ኢንቱሜሰንት ካታራክት ኮርቲካል ካታራክት እግርገቱ እጥን ካታራክት ኑክሌርዙ ካታራክት ሮዝቴ ካታራክት ዝመ ሲቅዘው እልዙ ሰወ ገርድን ይሽትጘኲ
0,ኽምጠ ዊከ ፅውዘይዙ ቺተ ምልክተንድ ውርውር ጛይ
0,ኃስላሴ ኩነት ቓለነ በነው ብዥተዙ ቓለብርኸዙ ወይሰ ቈሸነውቀለም ድዘጘ ቓለነው ሊጘ ፃቭን ቓሊሰነው እልዙ መነፅርዝ ዊንም ዲምቅሸነ ሌንሰን ቓለነውዙ ችግሰዝመ ተከተከቁድ ጛይ
0,ኽምጠ ዊከ እልዙ ሰወ ገርድንዝመ ላጥ እልዙ ችግሰንጥድ ማኽተናንስ እቀ ኽቭሪዝ ወረጘ ኻይሽታን
0,ኃስላሴ አውም እጅር ጝ እልጣንድ አምረዝ ሊጙን ምርመረ ፃቨነውዝ ደድስጠ ጡሸኲ እንም አቕ እሊል ቺተው ልውጠ ዊንም ቕጅወ ወይሰውዜ የነትም ንየይል ጋልፅሽተቁ ምልክተኒዝመ እልዙ ቕጅወዝመ አውር ሲረሲረ አጋልዛን ቃዚን ጣቂል ችጝሸው ትኽነ ጣቭየይል ማኽርዘነው ተሚሰኲ
0,ኽምጠ ዊከ ኽይጠጘዝ አዊን እድሚል አሽ ፅበቁድ ጠቃዘኲ
0,ኃስላሴ
0,ኽምጠ ዊከ እልዙ ሰወ ገርድን ችግሰንጥድ ውር ውር ጛይ
0,ኃስላሴ ላው ላው እልዙ ሰወ ገርድን ችግሰንጥድ እልዙትክቨ ቈሸነውይዝትዝመ እቁሰነውአለርጂየንኮርኒያዙ አቕርንዝመ ተከተከቁ ችግሰንጥዝ አጋልዝጠ ቸለኲ
0,ኽምጠ ዊከ እልዙ ፅውዘዝ አጋልሽታየጘ ቃውሰ ጥንቅቀድ ወረጘ የጝ
0,ኃይለ ስላሴ መደቨኘ እልዙ ምርመረ ጥይሰነው ችብሰነው ላጥ ትኽነዝቁ ችግሰንጥድ እግዝግዘነው አትክልትዝመ ፍረምረዝ ፃጅተው ማፅንፅንሸው ኹረ ዀነው ኰረዙ መንፅር አሩሸነው አልኮል ዝየነዊስ ቋጥቭሸነው ዊትርቅ ጋፅድ ዊርየው አቑዝ ዊንም ኬሚካል ንቕፅየው ሳሙነዝ እቓረነው ተሚሰኲ
0,ኽምጠ ዊከ ኽክምነድ አወየው አቕንትዝ የጝ አክኑሸውድ
0,ኃስላሴ እልዙ ሰወ ገርድን ጥላዝ ዊንም ጠብተዝ ኻክምሽጠ ቸላውም ጝሉ ኽክምነድም እሩደው ቀድን ኻክመነውዝ ጭቑ የጝ አልትራሳውንድዙ ሞገደንድ አሩሸነውዝ ሌንስድ ኪለናንስመ ቀቨቀቭሽተቁድ ድሰናንስ ከቨው ቀድን ኽክምነዙ መለ የጝ
0,ድምነዙ ሌንስዙ ክፍልድ ካፕሱላርዝ ቢዘ ቀድን ኽክምነ ኰሪዝ ኮርኒው አቒል ፅበው ኽየው ባጠዝ ድዘኲ ቀድን ኽክምነይዝ እግርገ ፍጥሩ ሌንስድ ቲክየው እጅር ሰራሸው እልዙ መንፅር ሌንስ ቲኪየነው ስረት የጝ
0,ኽምጠ ዊከ እልዙ ሰወ ገርድን ኽክምነ ቓደነውዙ አገነድ ውር ቑጠ የጝ
0,ኃስላሴእልዙ ሰወ ገርድን ቀድን ኽክምነ እቀጘ አምንሰውዝመ አጉረውዝ እሩደው የጝ አነጚ ኢንፌክሽን ብር ቅብረነው ሬቲና ሊቀነውዝመ ላጥ ኻደገን አጋልዝጛን እኳን ቓዳቅ የነውዙ አገነድ
0,ኽምጠ ዊከ ቀድን ኽክምነዝ እግርገ ፅውዘድ ሊጘት እትልጠ ቸለኩመ
0,ኃስላሴ እልዙ ሰወ ገርድን ቀድን ኽክምነ ፃቭሽተት እግርገ ሊጘት ዋጥርጠ ቸላውምአነጚ ላው ላው እቅድ እግርገቱ ካፕሱላር ኦፓሲፊሽን ፒሲኦይሽተው ፅውዘ እትልጠ ቸለኩ እኒንም ተከተከው ሌዘርዙ ፃጘዝ ቀለውዝ ኻክምሽጠ ቸለኲ
0,ኽምጠ ዊከ እልዙ ሰወ ገርድን ቀድን ኽክምነይል ውር አይንት ሌንሰን አርወል ግሪጘኲ
0,ኃስላሴ ሞኖፎካል መልቲ ፎካል ዝመ ቶሪክ ኢንትሮኩላር ሌንሰን እልዙ ሰወ ገርድን ቀድን ኽክምነ ኰሪዝ አርወል ግርየቊድ ጛይ
0,ኽምጠ ዊከ ነንትል አሽ ክታ ሆስፒታሊል እልዙ ኽክምነ ፊሰቊስ ውርቑጥጘድ እሩደው ኽክምነ ችጝጝኩጙ
0,ኃስላሴ
0,ኽምጠ ዊከ ነይረው ሚዝረይዝ እቀጘ ሚዜንዘኩን
0,ኃስላሴያንም አቭኑስርኑዝ ሚዜንዘኩን
0,አእዝጘ
0,ኢትዮጵየትል አእዝጘ
0,ሽጙድ ቓሊሳንትጘድ እቁዙ ሴል አቒል ፋጥርሸው እቁዙ ካንሰር ማ ይሽተኲ እቁኒል ኽይጠዝ እትለው ካንሰርዙ አይንተኒስ ላውድ የጝ
0,ዲቈቊ ዊትቊ እምታኒስ አጉረቊ ኽክምነዙ ችብረንጥ ቃውስ ይጝ ፅውዘይዙ ባኽሪድ ቺዘነውዝ እቁዙ ካንሰርዙ ክርጘድ ቃፅቨናንስ ልቕርድጝኩጙ ነንም ልቕርድጛጙ ችጝሽጘኲ
0,እቁዙ ማ ላዊል ዊንም ሊጘ እቁጣኒልቅ ችጝሸቁ ነቀርሰ አቕየቊ አቕርን ጛይ እቁ አቒል ጊንትዝመ ሆርሞንዙ ልውጢጅቅ ፃየፃይሸቁ ክንሸቁዝመ ፍጥርዝ እትለቁ ጛይ
0,ዶክተረንድ ዊግትጛንትጘድ እቁዙ ካንሰር ሴለን አቒል ሳልጠውዝ እግዝግዘ ፃቫይነው ሴልዙ አድልድለይዝ ምላሰን እትለኲ ዳቕሸቁ ቲሹወኒል ሲሪሸነውዝ እቁዙ ካንሰርዝ አጋልዘኲ
0,ፃቭ ፍልቅዘቁ ቱቦዎን ካንሰር
0,ካርስኖማ ቲሹ ካንሰር
0,ዊረተ እቁዙ ካንሰር ንየይል ጋልፅሽተጘ እቁዙ ካንሰር ጅውነይዝጎ ሕብረ ሕዋሳተኒል ትኒታንድ ዊረተዝጘ ቱቦዙ ካንሰር ዝመ ዊረተ ሎቡላር ካርሲኖማ ይሽትጘኲ
0,ሜታስታቲክ እቁዙ ካንሰር እቁዙ ካንሰር ብሪል ዊንም ሊምፍዝ ጋቢዝ ላጥ አካል ክፍላኒል ትኒትጠ ቸለኲ እንዙ ፃጘድ ይሽተኲ ሜታስታቲክ እቁዙ ካንሰር ጛጽዝጘ ሲብ ሽቕ እዘንዝመ ጛዝጎ ትኒትጠ ቸለኲ
0,ግልወ እቁዙ ካንሰር ዲቁዲቊ እቁዙ ካንሰር ግልቊልም ችጝሽጠ ቸለኲ ግልወዙ እቁ ካንሰር ንቕፀው ጊዝዝ ዊስንሸቁ ጥል ዊንም ክንሽየው ሆርሞንዙ ኢስትሮጅን ደረጅጥ ዊንም አትረው ጝነቁ እቁዙ ካንሰር ሲጘዙ ፈን የጝ
0,ላጥ እቀጘም አርቕሽትየቁ እቁዙ ካንሰር ዓይንተን ሜዱላሪ ካርሲኖማ ዝመ ጥቅልዘኲ
0,ንጭቱ ይና ዲቭየይዙ ሚርየድ ተፈራ ሃይሉ ሚጉርሰነ ጥቅለ ሆስፒታሊል እቁዙ ካንሰርዝ ጅሉዘ ላው ሙየ ጉርየጅቅ ፃቭነው ዊንተድ ፃይን አልትነውድ አንቭቭስነ ቀኑን
0,ኽምጠ ዊከ ክታ ሽጙድ አው ይሽታን ክታ ሰቪዙ ችጘርድስ ወረጘ የጝ
0,ዋቕርሽተ አብን ይሽጙድ ዶር አንተነህ ጌታቸው ይሽጠኩን ተፈራ ሃይሉ ሚጉርሰነ ጥቅለ ሆስፒታሊል ጥቅለ ሀኪም የጝ
0,ኽምጠ ዊከ እቁዙ ካንሰር ወረጘ የጝ
0,ዶር አንተነህ ጌታቸው እቁዙ ካንሰር ኽይጠጘዝ እቁኒል አጋልዘቁ ካንሰረኒስ ላውድ የጝ እንቅም ፆተንድ ጠቃዘው አቓንድ እርወነዝ ግነ ጠቃሸጥድ እቁንድ ጛይ ግልቊል ፅውዘድ እትለነዊዙ አገነድ
0,ኽምጠ ዊከ እቁዙ ካንሰር ጎንድ ውርውር ጛይ
0,ዶር አንተነህ እቁዙ ካንሰር ጎንድ ቲክነቁድ አጥጘ ቸልጘኲ ሆርሞንዙ ዚረዙ ዊንም ጝነቁዙ ሲጘ አቕርን ፅብንዙ መለ ጅውነይዙ ፍልውልወንጥ
0,ኽምጠ ዊከ እቁዙ ካንሰርዝ አጋልዘቁ ገበንድ ውር ጛይ
0,ዶር አንተነህ ጌታቸው እድም ትክቨነው ፆተዝ እውነ አቐነው ጭቕጘ አቕረነው ኹር እኹረቅ የነው ዊንም ስኻርድን እኹረነው እቁ ኒቭሳቅ የነው አደፍዙ ፃጘድ ቃውስን ኪርመነውዝመ ስኻርድን ችብረነው ጝነቊል እቁዙ ዊንም ላዘ ካንሰርዙ ፅውዘ ፅበነው ጝነቊል ፅበው ዘረመልዙ ችግሰ
0,ኽምጠ ዊከ እቁዙ ካንሰር ምልክተን ውር ውር ጛይ
0,ዶር አንተነህ ጌታቸው እቊል አጋልዘው አቕርን እቁዙ ቕጅወ እቁዙ ምፅነ ቈሸነው እቁዙ ጨፊዝ ፈው ቅብረተ እቁዙ ቀርቭርድ ላውጥሸነውዝመ ጕድጉደነው እቊዙ ጨፍድ አቒትጐ ስጙርሸነው ጛይ
0,ኽምጠ ዊከ እቁዙ ካንሰር ምርመረዝቁ አይንተንድ ውር ውር ጛይ
0,ዶር አንተነህ ጌታቸው እቁዙ ካንሰር ምርመረዙ አይንተንአልትራሳውንድ ራጅ ማሞግራፊ ኤም አር አይ ፓቶሎጂ ጛይ
0,ኽምጠ ዊከ እቁዙ ካንሰር ዋቐዝ አድልሸኲ
0,ዶር አንተነህ ጌታቸው እቁዙ ካንሰር ደረጅጥ ሲዘ ጛይ ጛይም
0,ደረጀ
0,ደረጀ
0,ደረጀ
4,ደረጀ
0,ኽምጠ ዊከ እቁዙ ካንሰር ኽክምነድ አወይ ይውሽተኲ
0,ዶር አንተነህ ጌታቸው እቁዙ ካንሰር ኽክምነይዝመ ፈንድ ዊስንሸውድ ፅውዘይዙ ደረጀይዝ አቓንድ ደረጀ
0,ኽምጠ ዊከ እቁዙ ካንሰር ኽክምነ አውማው ትኽነ ችብረይል ይውሽተኲመ
0,ዶር አንተነህ ጌታቸውይና ኻግር ኢትዮጵየስ እቁዙ ካንሰር ኽክምነ ይውሽተውድ ሪፈራል ሆስፒታለኒል ጭቑ የጝ ወይትጘድ ቃውሰ ምርመረ አቕየውዜ ኽክምነድ ይውሽታውም እንዝም የጝ እቀ ኽቭርድ ፅውዘይል ፃየው ቓለድ ሳስ የው አቐውድ
0,እቁዙ ካንሰር ኽክምነ ፅርሸው አቕንትዝ ቺተቺተቊ ጉገንዝ የነትም ቀድን ኻክመነውዝ ኬሞቴራፒዝ ብርዙ ስሪል ይውሽተው ጥላዝ ፃቭሽተው ኽክምነ ፃርኸዙ ሆርሞንዙ ኽክምነዝ ይውሽተኲ
0,ኽምጠ ዊከእቁዙ ካንሰር አወሽን ማኽተነው ቸልሸኲ
0,ዶር አንተነህ ጌታቸውቃውሰ ምርመረ ፃቨነውዝእንም እቁዙ ካንሰርዝ ፃይሸነውዙ ኻደገድ ቃፅቫቅ ይሽም ፅውዘድ ቃዝይን አርቕን ጡሸው ኽክምነድ ቲክንክነናንስመ ክርጘይስ ቓደናንስ ከቨኲ
0,ኽምጠ ዊከቃውሰ ምርመረ ፃቨናንስ ወረጘ ኻይሽተኲ
0,ዶር አንተነህ ጌታቸው ጝታ እድምድ
0,እንዝጘም ጝታ እድሚድ
0,ጥቅለዝ ጝታ እድምድ
0,አውማው እድምዙ ክልሊል ችጝሸቁ እቁን ጝነቊ አቒል እን ካንሰሪዝ ጠቃሸተ ፅብሽ ቃውሰ ምርመረድ ኪርምጥጘድ ማኽርሸኲ
0,ኽምጠ ዊከ አሰነይዝ ይርነው ገቨ ፅብሽ አገነ ነቅጨመ
0,ዶር አንተነህ ጌታቸው ጥቅለዝ ይና እቀ ኽቭርድ እቁዙ ካንሰሪል ፃየው ልብትንድ ሳስ የው የጝ አቓንስቅም ጥውሸው አርቕትድ ችጝጥዊል አሽ ትኽነ ሙየ ጉይጥ ክንድጝ ይወነው
0,እንዝጘም ገረዱ ዲምቅሽንድም ፈራቐውዝ ቺተቺተቁ ጉገንዝ እቀ ኽቭሪዝ ሚዝረድ ኰሩ ፃቨነው አይንቀት ቲክንክነዝ ትንዝጝጠ ጡሸኲ እቀ ኽቭርድም እቁዙ ካንሰርድ ማኽተነዝመ ጡሸው ኽክምነድ ቃውስ ችጝጠ ጡሸኲ የር አምነኩን
0,ኽምጠ ዊከ ክታ ጊዝድ ፊቅድርን አቭኑሸነዊዝ እቀጘ ፃቭ ይና አስለ ክፍሊዝ ሚዜንዘኩን
0,ዶር አንተነህ ጌታቸው ያንም ይፃቀው አርቕትድ አድልጨጘዝመ ይግደጅድ ፍጨጘድ አገነ ነይርናንስቅ እቀጘ ሚዜንዘኩን
0,እንቅም እቁዙ ካንሰርድ ላብጠ ማኽትነ ይና ዲቭየይዙ እፃ የጝ
0,ዲግ አጥን
0,አልም አቅቨዙ አቕንትድ እቁኒል አጋልዘቁ ካንሰርዝቁ አይንተኒስ ማህፀንዙ ቢር ካንሰር ሲዘትረ ደረጀይል ጎየው አቓንድ ኢትዮጵየስ ቈሽ ሊጘትረ ደረጀል ጎየኲ
0,እን ካንሰሪዝ
0,ማህፀንዙ ቢር ካንሰር ማኽተነ ክትቫት ሊግዘጥ ሚቊዝ ይውሽተነው ኪርመት አኰ እምት እጊስኲ ሙየ ጉይጥድ ክትቫትድ
0,ክትቫትድ ፃይነው አርፈይዙ ግቨሪዝ ቲክንክነዝ አኰ ግርቅዝ
0,ማህፀን ቢርዙ ካንሰር ፅውዘይስ ምላሰን ንቕፀቍ ኲየንጣንዙ ሩሔ ዲቈኲ ነንትል አሽ ብጭቕም ዊግሽየው ማህፀን ቢርዙ ካንሰር ፅውዘይዝ አምረ ጨቨቅ
0,ፅውዘይዝ ፃይሸቊ ኲየንጣን ማኽሊስ
0,ማህፀን ቢርዙ ጫፍ ካንሰር ኢትዮጵየትጘ የቊ እቀጘ ሳስ የው ጥወር ፃየቊ ሰሃራት ሳ ችጝሸቊ ኻግራኒል ፅበቊ እቊን ኽይጠጘዝ ማህፀን ቢርዙ ጫፍ ካንሰርዝ አጋልሽተጥ ጛይ
0,ማህፀን ቢር ካንሰር ኢትዮጵየትል አምረ ጨቨቅ
0,ማህፀን ቢርዙ ጫፍ ካንሰር ክትቫትድ
0,ንጭቱ ይነ ዲቭየይዝ ወይትል ማህፀን ቢርዙ ካንሰር ክትባት አወየው አቕንትዝ ይውሽታጙ አቐጘ አንቭቭስነ ቀኑን
0,አዝቨ ቃውሰተዝመ ማኽለኘ ክንድጝ ጝን ክንደተ ራሔል ነጋሽ ክንድጝ ጝኒል ይውሽተው ክትቫቲዝ አሩሸተ ጚ እን ክትቫቲዝ ጝታ እድምድ ችጘቊ ሚቍ ይፃምጥ እጝቅ አገነድ አሩሽጝጠ ጡሸኲ ክትቫትድ ቲክንዘው ቕጅወ እጀው አቐነውድም ክንደጥ ይፃምጢዝ ልብስጨ በነኩን የነውዝ ጝር እፃድ ዲቈዲቁስርኩች
0,ቃውሰዝ ጥንቅቀ ተሚሰው አቐጘ ጒይር እንዝ ዲቈውዝ ቈሽ ተረው አገነድ አሩሸነውዝ ጊዝ ይውሽትጠ ጡሻው ገቨ አቐነውድም ክንደተ ራሔል ልብስርኩች
0,ተከተከውዝ ክንድጝ ጝኒል ክትቫት ፊሰቊ ክንደጢስ ላይሸን ክንደተ ገነት ይትባረክ ክትቫትድ ኽይነቅ አቕናንድ ማህፀንዙ ቢር ካንሰርዝ ፃይሻይነጘድ ፃቨው አቐነዊዝ እንቅም አሩሽነ ጡሸኲም ይርኩች
0,ማኽንዘኲ ቅወኲ ፅውሰኲ የቊ ምላሰንጥ ገረዱ ሚድየኒስ ትኒትኲ ይሽታጙ ኽይጠጘድ ጣርጥርሽጛንስ ፃቨው ጉግ ዊነነውድም ክንደተ ገነት ጉይር ችግሰድ ቓቪራንስም ቃውሰ ክንድጝ ይውሽተነውድ ጉይርኩች
0,ህዋሰን ክንሸዊዝ ቢዘ ትኽኑ አየው አቕንትዝ ሊግዘነው ዊንም ህዋሰኒዙ ዘባሽንዝ ፋጥርሸው ማህፀንዙ ካንሰር ይሽተኲየቊድ እኹርሰተ ነርስ አቐቊ አት ብርሃኑ ጌትነት ጛይ
0,ማህጸንዙ ቢር ካንሰር ማህጸን ጅውነይል ፅበቁ ኒቭስዙ ክፍላንድ ዊርጠ ላዘ ኒቭስዙ ክፍላኒል ትኒትጠ ቸለው አቐጘም አት ብርሃኑ ጉይጘኲ
0,ሂዩማን ፓፒሎማ ቫይረስ ዊስቭትዙ ዲምቅሽንዙ ኰሪዝ ዲቈዲቈው ቫይረስ አቓንድ እርወነዝ ማህጸንዙ ቢር ካንሰር አጋልዘው የጝ
0,ማህፀን ቢርዙ ካንሰር አውም ዊስቭት ኪርምረይ እውነ ማህፀንዙ ቢር ካንሰርዝ ፃይሽተ ቸልድረይ አቐነውድ ጉየቍድ ሙየ ጉርየድ ዲምቅሽን ኮሪዝ ኮንዶም እኳን አሩሽጛን ፅውዘድ ማኽተነው ቸልሻው አቐጘም ልብስጘኲ
0,ማህፀንዙ ቢር ካንሰርዝ ኽይጠጘዝ ፅውዘ ማኽተነውዙ አቅምድ ዝላቐቊ ኤች አይቪ ጝታ ብሪል ፃየቊድ ቈሽ ሲገረ ጥይሰቊ ቺተቺተቊ ግልቊጅቅ ዲምቅሽን ፃቨቊ ተከተከአጋልሽተቊ ጛይ የነውዝ ጋልፅጘኲ
0,ፅውዘድ ቃውስን ማኽተናንስ ሂዩማን ፓፒሎማ ቫይረስዙ ክትቫት ፊሰነውዝ ማህጸንዙ ቢር ካንሰር ነሰቊ አቐቊ ሂዩማን ፓፒሎማዙ ቫይረሰንድ ጊግቨነው ቸልሸው አቐጘም ሙየ ጉርየድ ጉይጝኩጙ
0,ቃውሰ ካንሰርዙ ምርመረ አውም እውነ ጝር እድምድ
0,ፓፕ ስሚር ማህጸንዙ ቢሪል ትኽኑ አየቊ ቃውሰ ካንሰርዙ ልውጠን ፅብጝሽ ትኽነ ሙየ ጉይጥ ፃቭጘው ምርመረ የጝ እንዝም ሲርየ ችግሰ ፅብሽ ተሚሰው ኽክምነዙ ቲክንክነ ፃቨናንስም ከቨኲ የቊድ መየ ጉርየድ ነን ይውሽታጙ ፅበው ክትቫትድ ፊሰነው ቈሽ እርወነ እክሰዙ ጉግ የጝ ይጘኲ
0,ማህፀን ቢርዙ ካንሰር ክትባት አውማው እድም ክልል አቒል ፅበቊዝ ይውሽተኲ አነጚ ነን ትኩርት ፃቭሽት ሰራሽተውድ
0,ክትቫትድ ይውሽተውድ ክንድጝ ጝንጢዝመ ጝንዝ ጝን አቐነውድ ዳቕሰቍድ ዲቈተድ ዝምረይዝ
0,ማህፀን ቢርዙ ኽክምነ እንቅም ሆስፒታለኒል ይውሽተው አቐነውድ ልብሰቊድ ዲቈተድ እንቅም እቀ ኽቭርዙ አድላንድ ቺዘው ልብትን ፃይጛንስ ቀሰው አቕንትዝ ሰቭትጛጙ አቐነውድም ጋልፅጘኲ
0,ብላ ክልሊል ትኽነ ቢሮዝ ኲየንጣንዝመ መልቁዙ ቲክንክነ ዳይሬክተር አት መልሰው ጫንያለው ጝታ ጋቢዝ
0,ብላ ክልሊል ጭቑ
0,ፅዊትን ኻክምሸነዊስ ቃውሰዝ ክትቫትድ ፊሰነውዝ ፅውዘድ ማኽትነ ይነ ዲቭየይዙ እፃ የጝ
0,ወይሽማን ኢትዮጵየት ብየ አቕጝ ሻቘ ላዝ ንየ እምተንዝ ዛጉዌቱ ስርወ ምጝግስት ሲርይጝ ቃውጛንድ ቅዱስም አደረም አቕጝ የጝ
0,ጝታ ጭሰጭሰንዙ ስረትድ ላጢዝ ቺት የውድ እቀኽቭሪዙ ኻይማኖቱም አነ ባኽሉ እሴትድ ኻይስን ቃፅልሰነውድ የጝእንም ኢትዮጵየት ሲጘዝ ሊግዘው ዚምን ቅምጛንስ ቸልስኲ
0,ይና ንጭቱ ዲቭየይዙ ሚርየድ ይና አቅለ እሴተንድ አወሽን ዚልቀትነይዝ ቃፅልሰነው ቸልሸኲ ነን አጋልዘው ፃውተይዙ ችግሰድስ አወሽን ችብሰነው ቸልሰኲ የዊዝ ጅሉዘ ሳቁጠ ኻትመ ጽበጥ ቺተቺተቊ እቀ ኽቭርዙ አድላኒጅቅ ፃቭነው ዊንተድ አንቭቭስነ ቀኑን
0,ይና አቅል ወይሽማኒዝመ አደርጢዝ ማኽሊል ፃቭሽታጙ ዊነው ጭሰጭሰኒዙ ስረቲዝመ ባኽሉ እሴትድ ዊነዊል ዊሰነው ጡሸኲየቁድ ሳቁጠ ኻትመዙ ፅበተ አቐቊ አት አደራጀው ቀለመ ወርቅ ጛይ
0,ዛጉዌቱ ስርወ ምጝግስትድ ጝ ቅምኒስ እግርገ ሰለሞንቊዝ አደርነይድ ከሰከሳንድ ይኩኖ አምላክስመ ነአኩተ ለአብስ ቲስመምን ፃቭጝ ዊነነውድ አት አደራጀው ጉይጘኵ
0,እን ቲስመምኒስ ማኽሊል ወይሽምነይድ ጸናቐጘ ፅባንስ ፃቭሽት ወይሽማን ጛቕመት ጛቕመ ቅምጛንስ አደረድ እቓረው ዊርቀዙ ሽኻኒልም እቓርጛንስመ አደረይዙ ለዊዝ ጎይጛንስም ፃቭሽት ሰለሞናኒዙ ቅመነ ዚምን አሰነይል አሽ ዊነጘድ አት አደራጀው ጋልፅጘኲ
0,ወይሽመን ዲጉ ስረትዝ ስልጣን ከሰከሰነውዙ ተከ ጛይ እቀ ኽቭሪዙ እሴትድ ኻይጝ ኽዝቭ ማኽሊል ማኽርሽቓለዝመ እሩዘነ ሚርየ እንዝጘም እክሰ ይውሽተው ቃውንዙ ስረት ጉይጥ ጛይ
0,እን ስረትድ ቃፅልሰነው ጋቢዝ ቢተ ፅበነዊዝ ላውድ ላውዴንት ጣልፍን ማለናንስ ፃቭሽተው ገቨድ ነን እትለው ፃውተይዙ ችግሰድ እትልጠጘድ ፃቭኲ ይጛንድ አት አደራጀው ጋልፅጘኵ
0,ነን አጋልዘው ፃውተይዙ ችግሰይዝ ክንድጝ ፊሰነውዝ ይና አቅለ እሴተንድ ቲክነ ጡሸው አቐነውድ የጝ አት አደራጀው ጉይጘውድ
